fecha;uva;
25/02/2018;22,0900;
26/02/2018;22,0900;
27/02/2018;22,1400;
28/02/2018;22,1500;
01/03/2018;22,1700;
02/03/2018;22,1800;
03/03/2018;22,2000;
04/03/2018;22,2000;
05/03/2018;22,2000;
06/03/2018;22,2400;
07/03/2018;22,2500;
08/03/2018;22,2700;
09/03/2018;22,2800;
10/03/2018;22,3000;
11/03/2018;22,3000;
12/03/2018;22,3000;
13/03/2018;22,3400;
14/03/2018;22,3500;
15/03/2018;22,3700;
16/03/2018;22,3800;
17/03/2018;22,4000;
18/03/2018;22,4000;
19/03/2018;22,4000;
20/03/2018;22,4500;
21/03/2018;22,4700;
22/03/2018;22,4900;
23/03/2018;22,5000;
24/03/2018;22,5200;
25/03/2018;22,5200;
26/03/2018;22,5200;
27/03/2018;22,5700;
28/03/2018;22,5900;
29/03/2018;22,6100;
30/03/2018;22,6100;
31/03/2018;22,6100;
01/04/2018;22,6100;
02/04/2018;22,6100;
03/04/2018;22,6100;
04/04/2018;22,7100;
05/04/2018;22,7300;
06/04/2018;22,7500;
07/04/2018;22,7600;
08/04/2018;22,7600;
09/04/2018;22,7600;
10/04/2018;22,8100;
11/04/2018;22,8300;
12/04/2018;22,8500;
13/04/2018;22,8700;
14/04/2018;22,8800;
15/04/2018;22,8800;
16/04/2018;22,8800;
17/04/2018;22,9400;
18/04/2018;22,9500;
19/04/2018;22,9700;
20/04/2018;22,9900;
21/04/2018;23,0100;
22/04/2018;23,0100;
23/04/2018;23,0100;
24/04/2018;23,0600;
25/04/2018;23,0800;
26/04/2018;23,0900;
27/04/2018;23,1100;
28/04/2018;23,1300;
29/04/2018;23,1300;
30/04/2018;23,1300;
01/05/2018;23,1300;
02/05/2018;23,1300;
03/05/2018;23,2200;
04/05/2018;23,2300;
05/05/2018;23,2500;
06/05/2018;23,2500;
07/05/2018;23,2500;
08/05/2018;23,3100;
09/05/2018;23,3200;
10/05/2018;23,3400;
11/05/2018;23,3600;
12/05/2018;23,3800;
13/05/2018;23,3800;
14/05/2018;23,3800;
15/05/2018;23,4300;
16/05/2018;23,4500;
17/05/2018;23,4700;
18/05/2018;23,4900;
19/05/2018;23,5100;
20/05/2018;23,5100;
21/05/2018;23,5100;
22/05/2018;23,5700;
23/05/2018;23,5900;
24/05/2018;23,6100;
25/05/2018;23,6300;
26/05/2018;23,6300;
27/05/2018;23,6300;
28/05/2018;23,6300;
29/05/2018;23,7100;
30/05/2018;23,7300;
31/05/2018;23,7500;
01/06/2018;23,7700;
02/06/2018;23,7900;
03/06/2018;23,7900;
04/06/2018;23,7900;
05/06/2018;23,8500;
06/06/2018;23,8700;
07/06/2018;23,8900;
08/06/2018;23,9200;
09/06/2018;23,9400;
10/06/2018;23,9400;
11/06/2018;23,9400;
12/06/2018;24,0000;
13/06/2018;24,0200;
14/06/2018;24,0400;
15/06/2018;24,0600;
16/06/2018;24,0800;
17/06/2018;24,0800;
18/06/2018;24,0800;
19/06/2018;24,1300;
20/06/2018;24,1500;
21/06/2018;24,1500;
22/06/2018;24,1800;
23/06/2018;24,2000;
24/06/2018;24,2000;
25/06/2018;24,2000;
26/06/2018;24,2500;
27/06/2018;24,2600;
28/06/2018;24,2800;
29/06/2018;24,3000;
30/06/2018;24,3100;
01/07/2018;24,3100;
02/07/2018;24,3100;
03/07/2018;24,3700;
04/07/2018;24,3800;
05/07/2018;24,4000;
06/07/2018;24,4200;
07/07/2018;24,4300;
08/07/2018;24,4300;
09/07/2018;24,4300;
10/07/2018;24,4300;
11/07/2018;24,5000;
12/07/2018;24,5200;
13/07/2018;24,5300;
14/07/2018;24,5500;
15/07/2018;24,5500;
16/07/2018;24,5500;
17/07/2018;24,6100;
18/07/2018;24,6400;
19/07/2018;24,6700;
20/07/2018;24,7000;
21/07/2018;24,7300;
22/07/2018;24,7300;
23/07/2018;24,7300;
24/07/2018;24,8200;
25/07/2018;24,8500;
26/07/2018;24,8800;
27/07/2018;24,9000;
28/07/2018;24,9300;
29/07/2018;24,9300;
30/07/2018;24,9300;
31/07/2018;25,0200;
01/08/2018;25,0500;
02/08/2018;25,0800;
03/08/2018;25,1100;
04/08/2018;25,1400;
05/08/2018;25,1400;
06/08/2018;25,1400;
07/08/2018;25,2300;
08/08/2018;25,2600;
09/08/2018;25,2900;
10/08/2018;25,3200;
11/08/2018;25,3500;
12/08/2018;25,3500;
13/08/2018;25,3500;
14/08/2018;25,4400;
15/08/2018;25,4700;
16/08/2018;25,5000;
17/08/2018;25,5200;
18/08/2018;25,5500;
19/08/2018;25,5500;
20/08/2018;25,5500;
21/08/2018;25,5500;
22/08/2018;25,6500;
23/08/2018;25,6700;
24/08/2018;25,7000;
25/08/2018;25,7200;
26/08/2018;25,7200;
27/08/2018;25,7200;
28/08/2018;25,8000;
29/08/2018;25,8200;
30/08/2018;25,8500;
31/08/2018;25,8700;
01/09/2018;25,9000;
02/09/2018;25,9000;
03/09/2018;25,9000;
04/09/2018;25,9800;
05/09/2018;26,0000;
06/09/2018;26,0300;
07/09/2018;26,0500;
08/09/2018;26,0800;
09/09/2018;26,0800;
10/09/2018;26,0800;
11/09/2018;26,1600;
12/09/2018;26,1800;
13/09/2018;26,2100;
